*****************PrerTrained Network Testing******************

Size of training dataset 2577
Size of Validation dataset 287
Size of testing dataset 704
No. of Epochs: 100
 Batch size: 10
 Learning_rate : 0.01
 Image size 512*512
 Step 258
Epoch: [1][143/258]	Time 6.088 (4.654)	Loss 1.0839 (1.4132)	Accuracy 0.3000 (0.3819)	
Epoch: [1][144/258]	Time 4.368 (4.652)	Loss 0.8122 (1.4091)	Accuracy 0.8000 (0.3848)	
Epoch: [1][145/258]	Time 4.912 (4.654)	Loss 1.2219 (1.4078)	Accuracy 0.1000 (0.3829)	
Epoch: [1][146/258]	Time 4.206 (4.651)	Loss 0.8728 (1.4042)	Accuracy 0.6000 (0.3844)	
Epoch: [1][147/258]	Time 4.902 (4.653)	Loss 1.5459 (1.4051)	Accuracy 0.4000 (0.3845)	
Epoch: [1][148/258]	Time 3.999 (4.648)	Loss 1.1089 (1.4032)	Accuracy 0.4000 (0.3846)	
Epoch: [1][149/258]	Time 4.307 (4.646)	Loss 1.1143 (1.4012)	Accuracy 0.6000 (0.3860)	
Epoch: [1][150/258]	Time 3.831 (4.641)	Loss 1.3796 (1.4011)	Accuracy 0.4000 (0.3861)	
Epoch: [1][151/258]	Time 3.762 (4.635)	Loss 1.2142 (1.3999)	Accuracy 0.5000 (0.3868)	
Epoch: [1][152/258]	Time 4.597 (4.635)	Loss 0.8454 (1.3962)	Accuracy 0.5000 (0.3876)	
Epoch: [1][153/258]	Time 4.054 (4.631)	Loss 1.0045 (1.3937)	Accuracy 0.5000 (0.3883)	
Epoch: [1][154/258]	Time 4.684 (4.631)	Loss 0.9134 (1.3906)	Accuracy 0.5000 (0.3890)	
Epoch: [1][155/258]	Time 4.798 (4.632)	Loss 1.0858 (1.3886)	Accuracy 0.3000 (0.3885)	
Epoch: [1][156/258]	Time 4.274 (4.630)	Loss 1.1938 (1.3874)	Accuracy 0.5000 (0.3892)	
Epoch: [1][157/258]	Time 3.889 (4.625)	Loss 1.0641 (1.3853)	Accuracy 0.3000 (0.3886)	
Epoch: [1][158/258]	Time 4.274 (4.623)	Loss 1.1383 (1.3838)	Accuracy 0.3000 (0.3881)	
Epoch: [1][159/258]	Time 4.300 (4.621)	Loss 1.3101 (1.3833)	Accuracy 0.4000 (0.3881)	
Epoch: [1][160/258]	Time 4.960 (4.623)	Loss 1.1491 (1.3819)	Accuracy 0.4000 (0.3882)	
Epoch: [1][161/258]	Time 4.797 (4.624)	Loss 1.1295 (1.3803)	Accuracy 0.3000 (0.3877)	
Epoch: [1][162/258]	Time 3.633 (4.618)	Loss 1.1311 (1.3788)	Accuracy 0.5000 (0.3883)	
Epoch: [1][163/258]	Time 4.846 (4.620)	Loss 0.9608 (1.3762)	Accuracy 0.7000 (0.3902)	
Epoch: [1][164/258]	Time 4.929 (4.621)	Loss 0.9401 (1.3736)	Accuracy 0.6000 (0.3915)	
Epoch: [1][165/258]	Time 5.049 (4.624)	Loss 0.9238 (1.3709)	Accuracy 0.6000 (0.3928)	
Epoch: [1][166/258]	Time 3.541 (4.618)	Loss 1.1975 (1.3699)	Accuracy 0.5000 (0.3934)	
Epoch: [1][167/258]	Time 4.683 (4.618)	Loss 0.9736 (1.3675)	Accuracy 0.5000 (0.3940)	
Epoch: [1][168/258]	Time 4.877 (4.619)	Loss 1.0022 (1.3653)	Accuracy 0.6000 (0.3953)	
Epoch: [1][169/258]	Time 4.094 (4.616)	Loss 1.0704 (1.3636)	Accuracy 0.4000 (0.3953)	
Epoch: [1][170/258]	Time 4.983 (4.619)	Loss 0.9943 (1.3614)	Accuracy 0.5000 (0.3959)	
Epoch: [1][171/258]	Time 4.435 (4.617)	Loss 1.1061 (1.3600)	Accuracy 0.5000 (0.3965)	
Epoch: [1][172/258]	Time 4.596 (4.617)	Loss 1.2899 (1.3595)	Accuracy 0.2000 (0.3954)	
Epoch: [1][173/258]	Time 4.416 (4.616)	Loss 1.2574 (1.3590)	Accuracy 0.4000 (0.3954)	
Epoch: [1][174/258]	Time 3.778 (4.611)	Loss 1.3738 (1.3590)	Accuracy 0.3000 (0.3949)	
Epoch: [1][175/258]	Time 4.579 (4.611)	Loss 1.1420 (1.3578)	Accuracy 0.4000 (0.3949)	
Epoch: [1][176/258]	Time 4.957 (4.613)	Loss 1.0018 (1.3558)	Accuracy 0.4000 (0.3949)	
Epoch: [1][177/258]	Time 3.869 (4.609)	Loss 0.9334 (1.3534)	Accuracy 0.6000 (0.3961)	
Epoch: [1][178/258]	Time 4.202 (4.607)	Loss 0.9315 (1.3511)	Accuracy 0.6000 (0.3972)	
Epoch: [1][179/258]	Time 4.287 (4.605)	Loss 0.9666 (1.3489)	Accuracy 0.5000 (0.3978)	
Epoch: [1][180/258]	Time 5.542 (4.610)	Loss 1.0186 (1.3471)	Accuracy 0.4000 (0.3978)	
Epoch: [1][181/258]	Time 4.337 (4.609)	Loss 0.8710 (1.3445)	Accuracy 0.8000 (0.4000)	
Epoch: [1][182/258]	Time 3.438 (4.602)	Loss 0.9460 (1.3423)	Accuracy 0.6000 (0.4011)	
Epoch: [1][183/258]	Time 4.378 (4.601)	Loss 1.0407 (1.3407)	Accuracy 0.8000 (0.4033)	
Epoch: [1][184/258]	Time 4.252 (4.599)	Loss 1.0914 (1.3393)	Accuracy 0.4000 (0.4032)	
Epoch: [1][185/258]	Time 4.667 (4.599)	Loss 1.0606 (1.3378)	Accuracy 0.4000 (0.4032)	
Epoch: [1][186/258]	Time 4.671 (4.600)	Loss 0.9909 (1.3360)	Accuracy 0.5000 (0.4037)	
Epoch: [1][187/258]	Time 4.014 (4.597)	Loss 0.8608 (1.3334)	Accuracy 0.6000 (0.4048)	
Epoch: [1][188/258]	Time 4.082 (4.594)	Loss 1.2466 (1.3330)	Accuracy 0.3000 (0.4042)	
Epoch: [1][189/258]	Time 5.108 (4.597)	Loss 0.9215 (1.3308)	Accuracy 0.3000 (0.4037)	
Epoch: [1][190/258]	Time 3.898 (4.593)	Loss 0.9993 (1.3291)	Accuracy 0.8000 (0.4058)	
Epoch: [1][191/258]	Time 4.489 (4.593)	Loss 1.2046 (1.3284)	Accuracy 0.5000 (0.4062)	
Epoch: [1][192/258]	Time 4.299 (4.591)	Loss 1.4730 (1.3292)	Accuracy 0.4000 (0.4062)	
Epoch: [1][193/258]	Time 4.836 (4.592)	Loss 1.0021 (1.3275)	Accuracy 0.3000 (0.4057)	
Epoch: [1][194/258]	Time 3.914 (4.589)	Loss 1.1636 (1.3267)	Accuracy 0.3000 (0.4051)	
Epoch: [1][195/258]	Time 4.833 (4.590)	Loss 0.9208 (1.3246)	Accuracy 0.5000 (0.4056)	
Epoch: [1][196/258]	Time 4.597 (4.590)	Loss 1.0157 (1.3230)	Accuracy 0.4000 (0.4056)	
Epoch: [1][197/258]	Time 2.905 (4.582)	Loss 1.0993 (1.3219)	Accuracy 0.2000 (0.4045)	
Epoch: [1][198/258]	Time 4.627 (4.582)	Loss 1.0142 (1.3203)	Accuracy 0.5000 (0.4050)	
Epoch: [1][199/258]	Time 3.533 (4.577)	Loss 1.1431 (1.3195)	Accuracy 0.1000 (0.4035)	
Epoch: [1][200/258]	Time 4.945 (4.578)	Loss 1.0328 (1.3180)	Accuracy 0.2000 (0.4025)	
Epoch: [1][201/258]	Time 3.853 (4.575)	Loss 1.0540 (1.3167)	Accuracy 0.4000 (0.4025)	
Epoch: [1][202/258]	Time 4.698 (4.575)	Loss 1.1376 (1.3158)	Accuracy 0.2000 (0.4015)	
Epoch: [1][203/258]	Time 5.124 (4.578)	Loss 1.0947 (1.3148)	Accuracy 0.3000 (0.4010)	
Epoch: [1][204/258]	Time 4.450 (4.577)	Loss 1.0028 (1.3132)	Accuracy 0.5000 (0.4015)	
Epoch: [1][205/258]	Time 4.554 (4.577)	Loss 1.0341 (1.3119)	Accuracy 0.6000 (0.4024)	
Epoch: [1][206/258]	Time 3.799 (4.574)	Loss 0.9977 (1.3104)	Accuracy 0.2000 (0.4014)	
Epoch: [1][207/258]	Time 5.086 (4.576)	Loss 1.0064 (1.3089)	Accuracy 0.6000 (0.4024)	
Epoch: [1][208/258]	Time 4.266 (4.575)	Loss 0.9461 (1.3072)	Accuracy 0.5000 (0.4029)	
Epoch: [1][209/258]	Time 4.268 (4.573)	Loss 1.0715 (1.3060)	Accuracy 0.6000 (0.4038)	
Epoch: [1][210/258]	Time 4.287 (4.572)	Loss 1.0053 (1.3046)	Accuracy 0.5000 (0.4043)	
Epoch: [1][211/258]	Time 4.155 (4.570)	Loss 1.2531 (1.3044)	Accuracy 0.4000 (0.4042)	
Epoch: [1][212/258]	Time 5.117 (4.572)	Loss 1.1093 (1.3035)	Accuracy 0.4000 (0.4042)	
Epoch: [1][213/258]	Time 3.878 (4.569)	Loss 1.3017 (1.3035)	Accuracy 0.4000 (0.4042)	
Epoch: [1][214/258]	Time 3.844 (4.566)	Loss 1.0423 (1.3022)	Accuracy 0.5000 (0.4047)	
Epoch: [1][215/258]	Time 4.127 (4.564)	Loss 1.1315 (1.3014)	Accuracy 0.4000 (0.4046)	
Epoch: [1][216/258]	Time 4.376 (4.563)	Loss 1.1299 (1.3007)	Accuracy 0.3000 (0.4041)	
Epoch: [1][217/258]	Time 4.414 (4.562)	Loss 1.0976 (1.2997)	Accuracy 0.3000 (0.4037)	
Epoch: [1][218/258]	Time 3.739 (4.558)	Loss 1.0705 (1.2987)	Accuracy 0.3000 (0.4032)	
Epoch: [1][219/258]	Time 4.713 (4.559)	Loss 1.0486 (1.2975)	Accuracy 0.7000 (0.4045)	
Epoch: [1][220/258]	Time 4.111 (4.557)	Loss 1.1157 (1.2967)	Accuracy 0.2000 (0.4036)	
