Step|length,BatchTime,BatchAvgTime,Loss,AvgLoss,Accuracy,AverageAccuracy
[12/15],8.081,7.559,0.994,1.0135,0.45,0.569
[13/15],7.29,7.54,0.9842,1.0114,0.4,0.557
[14/15],2.465,7.202,0.9595,1.0101,0.857,0.564
[0/15],7.717,7.717,1.2184,1.2184,0.3,0.3
[1/15],7.539,7.628,0.8302,1.0243,0.65,0.475
[2/15],8.203,7.82,1.0485,1.0324,0.5,0.483
[3/15],7.175,7.659,0.8869,0.996,0.7,0.537
[4/15],7.084,7.544,1.0053,0.9979,0.55,0.54
[5/15],7.361,7.513,0.8116,0.9668,0.65,0.558
[6/15],6.602,7.383,0.7811,0.9403,0.7,0.579
[7/15],6.527,7.276,0.9119,0.9368,0.75,0.6
[8/15],6.543,7.195,0.8848,0.931,0.55,0.594
[9/15],7.131,7.188,1.0834,0.9462,0.5,0.585
[10/15],8.106,7.272,1.1726,0.9668,0.45,0.573
[11/15],7.896,7.324,1.5049,1.0116,0.35,0.554
[12/15],7.383,7.328,1.2359,1.0289,0.6,0.558
[13/15],6.992,7.304,0.8954,1.0194,0.6,0.561
[14/15],2.249,6.967,1.0811,1.0209,0.571,0.561
[0/15],6.592,6.592,1.1857,1.1857,0.7,0.7
[1/15],7.079,6.836,0.9893,1.0875,0.5,0.6
[2/15],6.271,6.648,1.5483,1.2411,0.35,0.517
[3/15],7.089,6.758,0.8693,1.1481,0.55,0.525
[4/15],8.776,7.162,0.9305,1.1046,0.4,0.5
[5/15],6.972,7.13,1.0734,1.0994,0.5,0.5
[6/15],6.961,7.106,1.1363,1.1047,0.55,0.507
[7/15],8.272,7.252,1.0962,1.1036,0.55,0.512
[8/15],7.618,7.292,0.7657,1.0661,0.55,0.517
[9/15],7.714,7.334,0.8448,1.044,0.65,0.53
[10/15],7.221,7.324,1.2849,1.0659,0.35,0.514
[11/15],7.734,7.358,1.1313,1.0713,0.5,0.512
[12/15],6.735,7.31,1.0075,1.0664,0.7,0.527
[13/15],7.288,7.309,1.329,1.0852,0.45,0.521
[14/15],2.138,6.964,1.2468,1.0891,0.571,0.523
[0/15],7.848,7.848,1.0038,1.0038,0.4,0.4
[1/15],6.734,7.291,1.3903,1.1971,0.4,0.4
[2/15],7.646,7.409,1.3243,1.2395,0.5,0.433
[3/15],7.353,7.395,0.9569,1.1688,0.45,0.438
[4/15],7.474,7.411,1.69,1.2731,0.3,0.41
[5/15],6.04,7.183,0.9368,1.217,0.65,0.45
[6/15],7.218,7.188,1.0891,1.1987,0.55,0.464
[7/15],7.072,7.173,1.2564,1.206,0.5,0.469
[8/15],7.438,7.203,0.9844,1.1813,0.7,0.494
[9/15],7.396,7.222,0.9117,1.1544,0.7,0.515
[10/15],7.801,7.275,1.1197,1.1512,0.55,0.518
